sentence1,sentence2,score
"Makluman: Penutupan Penuh Sementara Lebuhraya WCE di Kedua-dua Arah pada 26 Ogos 2025, dari 10:00 Hingga 10:20 Pagi","Makluman: Penutupan Penuh Sementara Lebuhraya WCE di Kedua-dua Arah pada 26 Ogos 2025, dari 10:00 Hingga 10:20 Pagi",1.0
"Makluman: Gempa Bumi Lemah di Segamat, Johor","Makluman: Gempa Bumi Lemah di Segamat, Johor",1.0
"Makluman: Penutupan Jalan di Persiaran Perdana, Presint 3 Sempena Latihan Persembahan Hari Kebangsaan 2025 Bermula 21 hingga 25 Ogos 2025","Makluman: Penutupan Jalan di Persiaran Perdana, Presint 3 Sempena Latihan Persembahan Hari Kebangsaan 2025 Bermula 21 hingga 25 Ogos 2025",1.0
Waspada Taktik Penipuan Yang Menjana Video AI Dengan Menggunakan Wajah Dan Suara KDYMM SPB Raja Permaisuri Agong Raja Zarith Sofiah,Waspada Taktik Penipuan Yang Menjana Video AI Dengan Menggunakan Wajah Dan Suara KDYMM SPB Raja Permaisuri Agong Raja Zarith Sofiah,1.0
Makluman: Penutupan Jalan Utama Bermula 26 hingga 31 Ogos 2025 Sempena Sambutan Hari Kebangsaan,Makluman: Penutupan Jalan Utama Bermula 26 hingga 31 Ogos 2025 Sempena Sambutan Hari Kebangsaan,1.0
Waspada Akaun TikTok Palsu Yang Menyalahgunakan Nama Dan Logo JIM,Waspada Akaun TikTok Palsu Yang Menyalahgunakan Nama Dan Logo JIM,1.0
Waspada Akaun TikTok Palsu Yang Menyalahgunakan Nama dan Gambar Ketua Pengarah JPJ Untuk Mempromosikan Pemilikan Lesen Memandu Percuma Tanpa Ujian,Waspada Akaun TikTok Palsu Yang Menyalahgunakan Nama dan Gambar Ketua Pengarah JPJ Untuk Mempromosikan Pemilikan Lesen Memandu Percuma Tanpa Ujian,1.0
Penjelasan berkenaan Proses Penjenamaan Baharu Lembaga TH,Penjelasan berkenaan Proses Penjenamaan Baharu Lembaga TH,1.0
Dakwaan Video ‘Standoff’ Antara Tentera Laut Filipina dan Malaysia Adalah Tidak Benar,Dakwaan Video ‘Standoff’ Antara Tentera Laut Filipina dan Malaysia Adalah Tidak Benar,1.0
"Makluman: Larangan Penggunaan Dron di Kawasan IOI Resort City, Putrajaya pada pada 17 Ogos 2025 dari Jam 1.45 sehingga 2.45 Petang","Makluman: Larangan Penggunaan Dron di Kawasan IOI Resort City, Putrajaya pada pada 17 Ogos 2025 dari Jam 1.45 sehingga 2.45 Petang",1.0
Penjelasan Berhubung Insiden Seorang Wanita Mencederakan Orang Awam Dengan Senjata,Penjelasan Berhubung Insiden Seorang Wanita Mencederakan Orang Awam Dengan Senjata,1.0
Waspada Taktik Penipuan yang Menyamar sebagai Gabenor BNM dan Meminta Pemindahan Wang,Waspada Taktik Penipuan yang Menyamar sebagai Gabenor BNM dan Meminta Pemindahan Wang,1.0
"Waspada Taktik Penipuan Yang Menyalahgunakan Nama Dan Logo MARA Serta Nama Program Pinjaman Pelajaran MARA Bagi Tujuan Iklan, Hebahan Dan Promosi","Waspada Taktik Penipuan Yang Menyalahgunakan Nama Dan Logo MARA Serta Nama Program Pinjaman Pelajaran MARA Bagi Tujuan Iklan, Hebahan Dan Promosi",1.0
Makluman: Pembayaran STR Fasa 3 Mulai 12 Ogos 2025,Makluman: Pembayaran STR Fasa 3 Mulai 12 Ogos 2025,1.0
Dakwaan Bayaran Tol Akan Dikenakan Kepada Penunggang Motosikal Mulai Oktober 2025 Tidak Benar,Dakwaan Bayaran Tol Akan Dikenakan Kepada Penunggang Motosikal Mulai Oktober 2025 Tidak Benar,1.0
Waspada Notis Palsu Berkaitan Siasatan Penyebaran Pornografi Kanak-Kanak Yang Menyalahgunakan Nama Dan Logo SPRM,Waspada Notis Palsu Berkaitan Siasatan Penyebaran Pornografi Kanak-Kanak Yang Menyalahgunakan Nama Dan Logo SPRM,1.0
Makluman: Harga Runcit Produk Petroleum Bagi Tempoh 7 Ogos Hingga 13 Ogos 2025,Makluman: Harga Runcit Produk Petroleum Bagi Tempoh 7 Ogos Hingga 13 Ogos 2025,1.0
Waspada Penularan Video Palsu (Deepfake) Melibatkan Ketua Pengarah AKPS,Waspada Penularan Video Palsu (Deepfake) Melibatkan Ketua Pengarah AKPS,1.0
Makluman: Penambahbaikan Bantuan Warga Emas,Makluman: Penambahbaikan Bantuan Warga Emas,1.0
Waspada Iklan Palsu yang Menyalahgunakan Gambar Menteri Pengangkutan dengan Menawarkan ‘Lesen Kopi-O’,Waspada Iklan Palsu yang Menyalahgunakan Gambar Menteri Pengangkutan dengan Menawarkan ‘Lesen Kopi-O’,1.0
Waspada Taktik Sindiket Penipuan Berkaitan Penyaluran Bantuan RM100 di Bawah Program SARA,Waspada Taktik Sindiket Penipuan Berkaitan Penyaluran Bantuan RM100 di Bawah Program SARA,1.0
Makluman: Tarif Timbal Balas ke Atas Eskport Malaysia Daripada 25% Kepada 19% Berkuat Kuasa 1 Ogos 2025,Makluman: Tarif Timbal Balas ke Atas Eskport Malaysia Daripada 25% Kepada 19% Berkuat Kuasa 1 Ogos 2025,1.0
Makluman: Harga Runcit Produk Petroleum Bagi Tempoh 31 Julai Hingga 6 Ogos 2025,Makluman: Harga Runcit Produk Petroleum Bagi Tempoh 31 Julai Hingga 6 Ogos 2025,1.0
Waspada Sebaran Mesej Yang Mengandungi Pautan Palsu Berkaitan Bantuan SARA Sebanyak RM100 Mulai Ogos 2025,Waspada Sebaran Mesej Yang Mengandungi Pautan Palsu Berkaitan Bantuan SARA Sebanyak RM100 Mulai Ogos 2025,1.0
Waspada Akaun TikTok Palsu Yang Menyalahgunakan Identiti KDPB Tengku Ampuan Pahang,Waspada Akaun TikTok Palsu Yang Menyalahgunakan Identiti KDPB Tengku Ampuan Pahang,1.0
Makluman: Inisiatif Berkaitan Penyasaran Subsidi RON95 & SARA Kepada Seluruh Rakyat Dewasa,Makluman: Inisiatif Berkaitan Penyasaran Subsidi RON95 & SARA Kepada Seluruh Rakyat Dewasa,1.0
Penjelasan Berkenaan Laporan Media Berkaitan Laporan Ketua Audit Negara 2/2025,Penjelasan Berkenaan Laporan Media Berkaitan Laporan Ketua Audit Negara 2/2025,1.0
Hantaran Memetik Titah dan Menggunakan Gambar YDPA Sultan Ibrahim Berhubung Dunia Islam Adalah Tidak Benar,Hantaran Memetik Titah dan Menggunakan Gambar YDPA Sultan Ibrahim Berhubung Dunia Islam Adalah Tidak Benar,1.0
"Waspada Surat Palsu yang Menyalahgunakan Nama dan Logo JKDM, Untuk Meminta Bayaran SST","Waspada Surat Palsu yang Menyalahgunakan Nama dan Logo JKDM, Untuk Meminta Bayaran SST",1.0
"Makluman: Penerbangan Altitud Rendah Pesawat TUDM dan Mobilisasi Aset Maritim Di Daerah Kudat, Sabah Pada 21-30 Julai 2025","Makluman: Penerbangan Altitud Rendah Pesawat TUDM dan Mobilisasi Aset Maritim Di Daerah Kudat, Sabah Pada 21-30 Julai 2025",1.0
Waspada Akaun Palsu Yang Menyalahgunakan Identiti Menteri Dalam Negeri Dengan Menawarkan Bantuan Kewangan,Waspada Akaun Palsu Yang Menyalahgunakan Identiti Menteri Dalam Negeri Dengan Menawarkan Bantuan Kewangan,1.0
Makluman: Harga Runcit Produk Petroleum Bagi Tempoh 10 Julai Hingga 16 Julai 2025,Makluman: Harga Runcit Produk Petroleum Bagi Tempoh 10 Julai Hingga 16 Julai 2025,1.0
Waspada Taktik Penipuan Yang Menjana Video AI Dengan Menggunakan Wajah KDBP Sultan Pahang,Waspada Taktik Penipuan Yang Menjana Video AI Dengan Menggunakan Wajah KDBP Sultan Pahang,1.0
Waspada Taktik Penipuan Yang Menawarkan Perkhidmatan Urusan Imigresen Palsu Melalui Media Sosial,Waspada Taktik Penipuan Yang Menawarkan Perkhidmatan Urusan Imigresen Palsu Melalui Media Sosial,1.0
Makluman: Penutupan Lencongan Jalan Sempena 58th AMM & Related Meetings Pada 8 Hingga 11 Julai 2025,Makluman: Penutupan Lencongan Jalan Sempena 58th AMM & Related Meetings Pada 8 Hingga 11 Julai 2025,1.0
Makluman: Harga Runcit Produk Petroleum Bagi Tempoh 3 Julai Hingga 9 Julai 2025,Makluman: Harga Runcit Produk Petroleum Bagi Tempoh 3 Julai Hingga 9 Julai 2025,1.0
Penjelasan Mengenai Cukai Jualan Ke Atas Barang Kemas Perhiasan Diri Dan Barang Perhiasan Rumah,Penjelasan Mengenai Cukai Jualan Ke Atas Barang Kemas Perhiasan Diri Dan Barang Perhiasan Rumah,1.0
"Penjelasan Berkenaan Kejadian Banjir Di Kawasan Perumahan Taman Sri Muda, Shah Alam","Penjelasan Berkenaan Kejadian Banjir Di Kawasan Perumahan Taman Sri Muda, Shah Alam",1.0
Waspada Iklan Menawarkan Skim Pinjaman Dengan Menyalahgunakan Logo Dan Nama KWSP,Waspada Iklan Menawarkan Skim Pinjaman Dengan Menyalahgunakan Logo Dan Nama KWSP,1.0
Makluman: Jadual Elektrik Baharu Kulim Hi-Tech Park Berkuatkuasa Mulai 1 Julai 2025,Makluman: Jadual Elektrik Baharu Kulim Hi-Tech Park Berkuatkuasa Mulai 1 Julai 2025,1.0
Waspada Iklan Perkhidmatan Lesen Memandu Percuma Yang Menyalahgunakan Nama dan Logo JPJ,Waspada Iklan Perkhidmatan Lesen Memandu Percuma Yang Menyalahgunakan Nama dan Logo JPJ,1.0
Makluman: Harga Runcit Produk Petroleum Bagi Tempoh 12 Jun Hingga 18 Jun 2025,Makluman: Harga Runcit Produk Petroleum Bagi Tempoh 12 Jun Hingga 18 Jun 2025,1.0
Waspada Taktik Penipuan Yang Mempromosikan Produk Penjagaan Diabetes Menyalahgunakan Identiti YB Timbalan Menteri Kesihatan,Waspada Taktik Penipuan Yang Mempromosikan Produk Penjagaan Diabetes Menyalahgunakan Identiti YB Timbalan Menteri Kesihatan,1.0
Waspada Taktik Penipuan Jualan Anak Pokok Buah Ceri dan Tembikai Yang Menyalahgunakan Nama Serta Logo MARDI,Waspada Taktik Penipuan Jualan Anak Pokok Buah Ceri dan Tembikai Yang Menyalahgunakan Nama Serta Logo MARDI,1.0
Makluman: Bekalan Ternakan Korban Dijangka Mencukupi Menjelang Sambutan Hari Raya Aidiladha Tahun 2025 (1446H),Makluman: Bekalan Ternakan Korban Dijangka Mencukupi Menjelang Sambutan Hari Raya Aidiladha Tahun 2025 (1446H),1.0
Waspada Taktik Penipuan Yang Menyalahgunakan Nama MARA Dengan Menawarkan Pembiayaan Usahawan BHD,Waspada Taktik Penipuan Yang Menyalahgunakan Nama MARA Dengan Menawarkan Pembiayaan Usahawan BHD,1.0
Makluman: Harga Runcit Produk Petroleum Bagi Tempoh 22 Mei Hingga 28 Mei 2025,Makluman: Harga Runcit Produk Petroleum Bagi Tempoh 22 Mei Hingga 28 Mei 2025,1.0
Makluman: 71 Buah Sekolah Di Kuala Lumpur Dan Selangor Akan Melaksanakan PDPR Dari 26 – 28 Mei 2025 Sempena Sidang Kemuncak ASEAN ke-46,Makluman: 71 Buah Sekolah Di Kuala Lumpur Dan Selangor Akan Melaksanakan PDPR Dari 26 – 28 Mei 2025 Sempena Sidang Kemuncak ASEAN ke-46,1.0
Waspada Akaun Palsu Yang Menyalahgunakan Identiti (KDPB) Tengku Ampuan Pahang,Waspada Akaun Palsu Yang Menyalahgunakan Identiti (KDPB) Tengku Ampuan Pahang,1.0
Makluman: Harga Runcit Produk Petroleum Bagi Tempoh 15 Mei Hingga 21 Mei 2025,Makluman: Harga Runcit Produk Petroleum Bagi Tempoh 15 Mei Hingga 21 Mei 2025,1.0
Makluman: Malaysia Masih Bebas Daripada Sebarang Wabak Penyakit Babi Yang Disebabkan Bakteria Streptococcus Suis,Makluman: Malaysia Masih Bebas Daripada Sebarang Wabak Penyakit Babi Yang Disebabkan Bakteria Streptococcus Suis,1.0
Waspada Sebaran Mesej Yang Mengandungi Pautan Palsu Berkaitan SARA 2025 Sebanyak RM200 Melalui Platform WhatsApp,Waspada Sebaran Mesej Yang Mengandungi Pautan Palsu Berkaitan SARA 2025 Sebanyak RM200 Melalui Platform WhatsApp,1.0
Waspada Taktik Penipuan Yang Meminta Maklumat Peribadi Melalui Kaedah Quishing Berkaitan Berkaitan STR dan SARA,Waspada Taktik Penipuan Yang Meminta Maklumat Peribadi Melalui Kaedah Quishing Berkaitan Berkaitan STR dan SARA,1.0
Waspada Taktik Penipuan Yang Menawarkan Bantuan E-Wallet Sebanyak RM300 Melalui Mesej Yang Mengandungi Pautan Palsu,Waspada Taktik Penipuan Yang Menawarkan Bantuan E-Wallet Sebanyak RM300 Melalui Mesej Yang Mengandungi Pautan Palsu,1.0
Waspada Modus Operandi Penipuan Yang Menyalahgunakan Identiti KWSP Dengan Meminta Yuran Pengesahan Untuk Proses Permohonan Pengeluaran Dana,Waspada Modus Operandi Penipuan Yang Menyalahgunakan Identiti KWSP Dengan Meminta Yuran Pengesahan Untuk Proses Permohonan Pengeluaran Dana,1.0
Video Pelaporan Berita Berkenaan Situasi ILI di Perak Merupakan Video Lama Pada Tahun 2017,Video Pelaporan Berita Berkenaan Situasi ILI di Perak Merupakan Video Lama Pada Tahun 2017,1.0
Penularan Gambar Individu Menyamar Sebagai Pegawai KDN Bagi Tujuan Pengesahan Kad Pengenalan Adalah Tidak Benar,Penularan Gambar Individu Menyamar Sebagai Pegawai KDN Bagi Tujuan Pengesahan Kad Pengenalan Adalah Tidak Benar,1.0
"Sebaran Pengeluaran Khas Wang Simpanan KWSP Dari RM500 Hingga RM10,000 Mulai 15 April 2025 Adalah Tidak Benar","Sebaran Pengeluaran Khas Wang Simpanan KWSP Dari RM500 Hingga RM10,000 Mulai 15 April 2025 Adalah Tidak Benar",1.0
Penjelasan Kejadian Letupan Di Sebuah Stesen Minyak Berdekatan KLIA,Penjelasan Kejadian Letupan Di Sebuah Stesen Minyak Berdekatan KLIA,1.0
Makluman: Penutupan Jalan Raya Melibatkan 17 Laluan dan KLIA 2 Sempena Lawatan Presiden Republik Rakyat China Ke Malaysia Pada 15 Hingga 17 April 2025,Makluman: Penutupan Jalan Raya Melibatkan 17 Laluan dan KLIA 2 Sempena Lawatan Presiden Republik Rakyat China Ke Malaysia Pada 15 Hingga 17 April 2025,1.0
Tiada Individu Yang Terkorban Dalam Insiden Kebakaran Saluran Paip Gas Di Putra Heights,Tiada Individu Yang Terkorban Dalam Insiden Kebakaran Saluran Paip Gas Di Putra Heights,1.0
Waspada Halaman Facebook Palsu Yang Menyalahgunakan Nama & Logo MARDI,Waspada Halaman Facebook Palsu Yang Menyalahgunakan Nama & Logo MARDI,1.0
Makluman: Operasi Penerbangan Di Lapangan Terbang Sultan Abdul Aziz Shah Tidak Terjejas Susulan Kebakaran Saluran Paip Gas Di Putra Heights,Makluman: Operasi Penerbangan Di Lapangan Terbang Sultan Abdul Aziz Shah Tidak Terjejas Susulan Kebakaran Saluran Paip Gas Di Putra Heights,1.0
Waspada Terhadap Larangan Aktiviti Penerbangan dan Pengendalian Dron Di Kawasan Kebakaran Saluran Paip Gas Putra Heights,Waspada Terhadap Larangan Aktiviti Penerbangan dan Pengendalian Dron Di Kawasan Kebakaran Saluran Paip Gas Putra Heights,1.0
Waspada Sebaran Berita Palsu Mengenai Geran Digital Madani Bagi PMKS,Waspada Sebaran Berita Palsu Mengenai Geran Digital Madani Bagi PMKS,1.0
Makluman: 50% Diskaun Bayaran Tol Sempena Hari Raya Aidilfitri 2025,Makluman: 50% Diskaun Bayaran Tol Sempena Hari Raya Aidilfitri 2025,1.0
Waspada Taktik Penipuan Yang Mempromosikan Produk Dengan Menggunakan Gambar Ketua Pengarah MARDI Tanpa Kebenaran,Waspada Taktik Penipuan Yang Mempromosikan Produk Dengan Menggunakan Gambar Ketua Pengarah MARDI Tanpa Kebenaran,1.0
"Waspada Luruan Monsun Yang Berpotensi Menyebabkan Hujan Berterusan Di Sarawak, Sabah, Labuan dan Timur Semenanjung Sehingga 23 Mac 2025","Waspada Luruan Monsun Yang Berpotensi Menyebabkan Hujan Berterusan Di Sarawak, Sabah, Labuan dan Timur Semenanjung Sehingga 23 Mac 2025",1.0
Waspada Taktik Penipuan Yang Menyalahgunakan Jata Negara Dan Logo CSM Melalui Notis Palsu,Waspada Taktik Penipuan Yang Menyalahgunakan Jata Negara Dan Logo CSM Melalui Notis Palsu,1.0
Waspada Modus Operandi Penipuan Yang Meminta Pembayaran Cukai SST Melalui Invois Palsu,Waspada Modus Operandi Penipuan Yang Meminta Pembayaran Cukai SST Melalui Invois Palsu,1.0
Sebaran Maklumat Tular Mengenai Bantuan Wang Ihsan Adalah Tidak Tepat,Sebaran Maklumat Tular Mengenai Bantuan Wang Ihsan Adalah Tidak Tepat,1.0
"Sebaran Tular Pengeluaran Wang Simpanan KWSP Sebanyak RM10,000 Hingga RM50,000 Adalah Tidak Benar","Sebaran Tular Pengeluaran Wang Simpanan KWSP Sebanyak RM10,000 Hingga RM50,000 Adalah Tidak Benar",1.0
Waspada Luruan Angin Timuran Dijangka Memasuki Rantau Negara Pada 7 Hingga 1 Mac 2025,Waspada Luruan Angin Timuran Dijangka Memasuki Rantau Negara Pada 7 Hingga 1 Mac 2025,1.0
Makluman: Harga Runcit Produk Petroleum Bagi Tempoh 6 Mac Hingga 12 Mac 2025,Makluman: Harga Runcit Produk Petroleum Bagi Tempoh 6 Mac Hingga 12 Mac 2025,1.0
Waspada SMS Yang Mengandungi Pautan Pancing Data Berkaitan Lesen Memandu Daripada MyJPJ,Waspada SMS Yang Mengandungi Pautan Pancing Data Berkaitan Lesen Memandu Daripada MyJPJ,1.0
Waspada Taktik Penipuan Yang Menyamar Sebagai Pekerja atau Kontraktor TNB,Waspada Taktik Penipuan Yang Menyamar Sebagai Pekerja atau Kontraktor TNB,1.0
Waspada Terhadap Akaun Palsu Yang Menyamar Sebagai KDYMM SPB Yang di-Pertuan Agong Sultan Ibrahim,Waspada Terhadap Akaun Palsu Yang Menyamar Sebagai KDYMM SPB Yang di-Pertuan Agong Sultan Ibrahim,1.0
Penjualan Produk Gula-Gula Kenyal Berbentuk Mata Dilarang Di Semua Platform Dalam Talian dan Pasaran Domestik,Penjualan Produk Gula-Gula Kenyal Berbentuk Mata Dilarang Di Semua Platform Dalam Talian dan Pasaran Domestik,1.0
"Penjelasan Berhubung Penamatan 30,000 Pekerja Kontrak","Penjelasan Berhubung Penamatan 30,000 Pekerja Kontrak",1.0
Jabatan Kimia Sahkan Tiada DNA Khinzir Dalam Sampel Sandwic Ham and Cheese,Jabatan Kimia Sahkan Tiada DNA Khinzir Dalam Sampel Sandwic Ham and Cheese,1.0
Waspada Serangan Hasad SparkCat Melalui Aplikasi di Platform Google Play dan  Apple App Store,Waspada Serangan Hasad SparkCat Melalui Aplikasi di Platform Google Play dan  Apple App Store,1.0
Waspada Penumpuan Angin Dijangka Berlaku Di Sarawak Pada 17 Sehingga 19 Februari 2025,Waspada Penumpuan Angin Dijangka Berlaku Di Sarawak Pada 17 Sehingga 19 Februari 2025,1.0
Waspada Sebarang Penjualan Produk Komersil Yang Menyalahgunakan Logo JPN Tanpa Kebenaran,Waspada Sebarang Penjualan Produk Komersil Yang Menyalahgunakan Logo JPN Tanpa Kebenaran,1.0
Waspada Taktik Penipuan Yang Meminta Bayaran Pendahuluan Bagi Projek Pembinaan Menara Komunikasi di Sabah,Waspada Taktik Penipuan Yang Meminta Bayaran Pendahuluan Bagi Projek Pembinaan Menara Komunikasi di Sabah,1.0
Waspada Modus Operandi Penipuan Yang Menyalahgunakan Nama Dan Logo KWSP Dengan Meminta Yuran Pengesahan Untuk Proses Permohonan Pengeluaran Dana,Waspada Modus Operandi Penipuan Yang Menyalahgunakan Nama Dan Logo KWSP Dengan Meminta Yuran Pengesahan Untuk Proses Permohonan Pengeluaran Dana,1.0
Waspada Produk-Produk Kosmetik Yang Mengandungi Racun Berjadual,Waspada Produk-Produk Kosmetik Yang Mengandungi Racun Berjadual,1.0
Waspada Luruan Monsun Dijangka Berterusan Di Sabah Dan Sarawak Sehingga 9 Februari 2025,Waspada Luruan Monsun Dijangka Berterusan Di Sabah Dan Sarawak Sehingga 9 Februari 2025,1.0
Waspada Luruan Monsun Dijangka Berlaku 4 Sehingga 7 Februari 2025 Yang Melibatkan Negeri Sabah Dan Sarawak,Waspada Luruan Monsun Dijangka Berlaku 4 Sehingga 7 Februari 2025 Yang Melibatkan Negeri Sabah Dan Sarawak,1.0
Makluman: Harga Runcit Produk Petroleum Bagi Tempoh 30 Januari 2025 Hingga 5 Februari 2025,Makluman: Harga Runcit Produk Petroleum Bagi Tempoh 30 Januari 2025 Hingga 5 Februari 2025,1.0
Makluman: Kerajaan Umum Diskaun Tol 50% Sempena Tahun Baharu Cina,Makluman: Kerajaan Umum Diskaun Tol 50% Sempena Tahun Baharu Cina,1.0
KKM Pantau Limau Mandarin Yang Diimport Sempena Musim Perayaan,KKM Pantau Limau Mandarin Yang Diimport Sempena Musim Perayaan,1.0
